sku,gross_quantity,cancelled_quantity,cancelled_revenue_local,gross_revenue_local,cancel_rate_qty,cancel_rate_revenue
AN201-RED-M,2,0,0.0,458.0,0.0,0.0
AN201-RED-XL,2,0,0.0,602.0,0.0,0.0
AN201-RED-XXL,1,0,0.0,229.0,0.0,0.0
AN202-ORANGE-L,282,0,0.0,295.0,0.0,0.0
AN202-ORANGE-M,284,0,0.0,819.0,0.0,0.0
AN202-ORANGE-S,286,0,0.0,1442.0,0.0,0.0
AN202-ORANGE-XL,282,0,0.0,294.0,0.0,0.0
AN202-ORANGE-XXL,283,0,0.0,534.0,0.0,0.0
AN203-MAROON-XXL,1,0,0.0,301.0,0.0,0.0
AN204-PURPLE-L,3,0,613.34,1569.3400000000001,0.0,0.39082671696381915
AN204-PURPLE-M,283,0,0.0,607.0,0.0,0.0
AN204-PURPLE-S,1,0,0.0,322.0,0.0,0.0
AN204-PURPLE-XL,0,0,306.67,306.67,0.0,1.0
AN204-PURPLE-XXL,2,0,0.0,644.0,0.0,0.0
AN205-YELLOW-L,282,0,0.0,291.0,0.0,0.0
AN205-YELLOW-M,282,0,0.0,292.0,0.0,0.0
AN205-YELLOW-S,285,1,241.0,1011.0,0.0035087719298245615,0.23837784371909002
AN205-YELLOW-XL,3,0,0.0,903.0,0.0,0.0
AN205-YELLOW-XXL,1,0,0.0,301.0,0.0,0.0
AN206-GREEN-M,1,0,0.0,249.0,0.0,0.0
AN206-GREEN-S,1,0,0.0,301.0,0.0,0.0
AN206-GREEN-XL,1,0,0.0,301.0,0.0,0.0
AN207-PINK-L,1,0,0.0,322.0,0.0,0.0
AN207-PINK-S,1,0,0.0,322.0,0.0,0.0
AN207-PINK-XXL,1,0,0.0,322.0,0.0,0.0
AN208-MUSTARD-L,1,0,0.0,301.0,0.0,0.0
AN208-MUSTARD-M,1,0,0.0,229.0,0.0,0.0
AN208-MUSTARD-S,1,0,0.0,229.0,0.0,0.0
AN208-MUSTARD-XL,2,0,0.0,530.0,0.0,0.0
AN208-MUSTARD-XXL,3,0,218.1,1058.1,0.0,0.2061241848596541
AN209-BIEGE-XL,5,0,0.0,1373.0,0.0,0.0
AN209-BIEGE-XXL,283,0,0.0,520.0,0.0,0.0
AN210-NAVY-M,0,0,286.67,286.67,0.0,1.0
AN210-NAVY-XL,1,1,301.0,301.0,1.0,1.0
AN211-BLACK-L,6,0,0.0,1806.0,0.0,0.0
AN211-BLACK-S,3,0,0.0,903.0,0.0,0.0
AN211-BLACK-XL,1,0,0.0,301.0,0.0,0.0
AN211-BLACK-XXL,4,0,0.0,1204.0,0.0,0.0
