sale_date,sku,quantity,revenue_local,currency,status,channel
2021-06-05,MEN5004-KR-L,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5004-KR-XL,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5004-KR-XXL,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5009-KR-L,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5011-KR-L,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5025-KR-L,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5015-KR-XL,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5022-KR-XXL,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5014-KR-S,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5013-KR-S,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5013-KR-XXL,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5003-KR-L,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5003-KR-XXL,1,617.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5028-KR-L,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5028-KR-XXL,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,MEN5006-KR-XL,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-05,BL097-M,1,324.0,UNKNOWN,UNKNOWN,international
2021-06-05,BL104-M,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-05,BL104-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-05,BL103-S,1,389.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0001-DR-L,1,584.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3660-TP-L,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3647-TP-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0116-TP-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0165-TP-L,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3656-TP-XL,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3673-TU-XL,1,519.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3649-TP-L,1,487.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3653-TP-L,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3651-TP-L,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3712-TP-L,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0036-TP-XL,1,531.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3658-TP-L,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3652-TP-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3643-TP-L,1,357.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3643-TP-XL,1,357.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3672-TU-XL,1,487.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3674-TU-XL,1,487.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3670-TU-L,1,519.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0122-TP-L,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0119-TP-L,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3421-KR-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3467-KR-XL,1,519.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3030-KR-L,1,747.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3657-TP-XL,1,422.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3667-TP-XL,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0092-SET-L,1,1072.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3659-TP-L,1,389.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0214-TP-L,1,649.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0201-TP-L,1,584.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0197-TP-L,1,584.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0213-TP-L,1,584.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3640-TP-XL,1,454.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0233-SKD-L,1,1429.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0237-SKD-L,1,1494.0,UNKNOWN,UNKNOWN,international
2021-06-08,J0234-SKD-L,1,1202.0,UNKNOWN,UNKNOWN,international
2021-06-08,JNE3535-KR-XL,1,389.0,UNKNOWN,UNKNOWN,international
